tag,min,max,mid
KEWP_35BE_TT15D_XQ01,483,,
KEWP_35BE_TT15G_XQ01,483,,
KEWP_35BE_TT16A_XQ01,483,,
KEWP_35BE_TT16B_XQ01,483,,
KEWP_35BE_TT16C_XQ01,483,,
KEWP_35BE_TT16D_XQ01,483,,
KEWP_35BE_TT16G_XQ01,483,,
KEWP_35BE_TT17A_XQ01,483,,
KEWP_35BE_TT17B_XQ01,483,,
KEWP_35BE_TT17C_XQ01,483,,
KEWP_35BE_TT17D_XQ01,483,,
KEWP_35BE_TT18A_XQ01,483,,
KEWP_35BE_TT18B_XQ01,483,,
KEWP_35BE_TT18C_XQ01,483,,
KEWP_35BE_TT18D_XQ01,483,,
KEWP_35CR_TT55A_M_XM24,410,,
KEWP_35CR_TT55A_M_XQ03,410,,
KEWP_35CR_TT55A_XQ01,410,,
KEWP_35CR_TT55B_M_XM24,410,,
KEWP_35CR_TT55B_M_XQ03,410,,
KEWP_35CR_TT55B_XQ01,410,,
KEWP_35CR_TT55C_M_XM24,410,,
KEWP_35CR_TT55C_M_XQ03,410,,
KEWP_35CR_TT55C_XQ01,410,,
KEWP_35CR_TT55D_M_XM24,410,,
KEWP_35CR_TT55D_M_XQ03,410,,
KEWP_35CR_TT55D_XQ01,410,,
KEWP_35CR_TT56A_XQ01,410,,
KEWP_35CR_TT56B_XQ01,410,,
KEWP_35CR_TT56C_XQ01,410,,
KEWP_35CR_TT56D_XQ01,410,,
KEWP_35BE_LT01_XQ01,16,,
KEWP_35BE_LT02_XQ01,16,,
FW-PSH01A-M,388,,
FW-PSH01A:TRP,388,,
FW-PSH02A,388,,
FW-PSH03A,388,,
DW-PSLL01A,,0.6,
DW-PSLL02A,,0.6,
DW-PSLLA:TRP,,0.6,
DW-PSLLB:TRP,,0.6,
FP-XAPSA:TRP,,0.7,
FP-XAPS123-LL,,0.7,
FP-XAPS124-LL,,0.7,
FP-XAPS125-LL,,0.7,
AT-APSLL501,,0.7,
AT-APSLL5011,,0.7,
AT-APSLL5012,,0.7,
FP-XATE101,85,,
FP-XATE101-H,85,,
FP-XATE102,85,,
FP-XATE102-H,85,,
FP-XATE105,85,,
FP-XATE106,85,,
FP-XATE107,85,,
FP-XATE108,85,,
FP-XATE109,120,,
FP-XATE110,120,,
FP-XATE103,95,,
FP-XATE104,95,,
FP-XATE201,85,,
FP-XATE202,85,,
FP-XATE203,85,,
FP-XATE204,85,,
FP-XATE401,85,,
FP-XATE402,85,,
FP-XATE403,85,,
FP-XATE405,120,,
FP-XATE406,120,,
HE-LT01,,1171,
HE-LT01-C,,1171,
HE-LT01-MC,,1171,
HE-LT02,,1171,
HE-LT02-C,,1171,
AT-ARSPR:CS,,,6720
AT-APSHH401,-445,,
AT-APSHH4011,-445,,
AT-APSHH4012,-445,,
FP-XAYT131,90,,
FP-XAYT132,90,,
FP-XAYT133,90,,
FP-XAYT134,90,,
FP-XAYT135,-1000,1000,
FP-XAYT136,-1000,1000,
FP-XAYT231,10,,
FP-XAYT232,10,,
FP-XAYT431,90,,
FP-XAYT432,90,,
FP-XAYT433,90,,
FP-XAYT434,90,,
FP-XAYT435,-1000,1000,
FP-XAYT436,-1000,1000,
PA-XAPS003-LL,,1,
PA-XALS001-L,,214,
PA-XALS001-LL,,214,
PA-XATE004,90,,
PA-XATE005,90,,
PA-XATE006,85,,
PA-XATE007,85,,
PA-XATE008,85,,
PA-XATE009,85,,
PA-XACY001-HH,315,,
