정지원인개소,원인설비,호기,고장일,고장시간,복구일,복구시간,정지 시간,발전소,정지종별,정격출력(MW),발전원,설비명(분류),정지원인별(대),정지원인별(소),고장내용,날씨
"통풍, 연도장치",PAF,1,2009-05-03,19:57,2009-05-03,22:45,2:48,당진1발1,감발운전,500,석탄,보일러 부속,설비결함,제작불량,PAF(A) Inlet Vane Quick ClosePAF(A) Inlet Vane Quick Close에 의한 출력감발,맑음
"통풍, 연도장치",PAF,2,2014-03-16,16:00,2014-03-18,01:50,33:50,당진1발1,감발운전,510,석탄,보일러 부속,보수불량,자연열화,PAF-B 소음기 손상에 의한 정비작업 관련 출력감발,맑음
"통풍, 연도장치",PAF,3,2012-06-11,19:19,2012-06-11,21:19,2:00,당진2발,감발운전,500,석탄,보일러 부속,보수불량,정비불량,PAF-A Trip 으로 Load Runback,맑음
"통풍, 연도장치",PAF,4,2010-12-07,02:01,2010-12-07,11:10,9:09,당진2발,불시정지,500,석탄,보일러 부속,보수불량,정비불량,PAF A Disch Shut-Off Damper 닫힘으로 Fumace Pr Low 로 발전정지,맑음
"통풍, 연도장치",PAF,6,2014-01-29,15:00,2014-01-29,21:20,6:20,당진3발,감발운전,500,석탄,보일러 부속,설비결함,제작불량,PAF #B Inlet Vane Control Link 탈락,맑음
"통풍, 연도장치",PAF,1,2014-03-14,18:00,2014-03-14,23:15,5:15,당진1발1,감발운전,510,석탄,보일러 제어,보수불량,오 동 작,PAF-B Inlet Vane Actuator 정비관련 출력감발,맑음
"통풍, 연도장치",PAF,1,2014-01-23,18:00,2014-01-22,00:00,6:00,당진1발1,감발운전,510,석탄,보일러 제어,보수불량,오 동 작,PAF-B Inlet Vane Positioner 정비작업 관련 출력감발,맑음
"통풍, 연도장치",IDF,1,2016-09-27,18:00,2016-09-28,00:09,6:09,당진1발1,감발운전,500,석탄,보일러 부속,설비결함,제작불량,IDF-B Hyd Oil PSV05 Chatting 관련 출력감소,비
"통풍, 연도장치",IDF,1,2016-02-17,08:00,2016-02-17,23:57,15:57,당진1발1,감발운전,500,석탄,보일러 부속,보수불량,자연열화,IDF-A Oil 누설 정비 관련 출력감발,맑음
"통풍, 연도장치",IDF,1,2013-01-12,10:32,2013-01-12,14:50,4:18,당진1발1,감발운전,500,석탄,보일러 부속,보수불량,정비불량,보일러 ID Fan 오일배관 누유로 출력감발,맑음
"통풍, 연도장치",IDF,1,2010-04-02,07:00,2010-04-04,10:10,51:10,당진1발1,감발운전,500,석탄,보일러 부속,설비결함,제작불량,IDF(A) 베어링 진동상승으로 베어링 교체 정비차 출력감발,맑음
"통풍, 연도장치",IDF,1,2010-02-15,18:00,2010-02-17,17:40,47:40,당진1발1,계획중간정비정지,500,석탄,보일러 부속,기타,,IDF(B) 베어링 진동 상승관련 발전정지,맑음
"통풍, 연도장치",IDF,2,2008-01-07,06:18,2008-01-07,13:00,6:42,당진1발1,감발운전,500,석탄,보일러 부속,기타,,"정상운전중 ID FanA Brg Casing X,Y VIB Hi-Hi로 Trip되면서 Runback",맑음
"통풍, 연도장치",GGH,2,2011-02-24,00:00,2011-02-24,16:44,16:44,당진1발1,비계획정비정지,500,석탄,보일러 부속,보수불량,부식,GGH 열소자 이탈에 의한 탈황설비 운전불가로 발전 정지,맑음
"통풍, 연도장치",GGH,2,2015-02-28,00:00,2015-03-02,07:43,55:43,당진1발1,계획중간정비정지,510,석탄,보일러 부속,보수불량,자연열화,2호기 GAH-B 차압상승에 따른 수세정 작업 관련 계획중간정비정지,맑음
"통풍, 연도장치",GGH,3,2013-10-08,00:00,2013-10-09,15:08,39:08,당진2발,비계획정비정지,500,석탄,보일러 부속,보수불량,부식,GAH Outlet Temp 관련 정비를 위한 정지,맑음
"통풍, 연도장치",GGH,8,2015-04-13,17:00,2015-04-16,05:10,60:10,당진4발,감발운전,500,석탄,보일러 부속,설비결함,제작불량,GAH-B Rotor Driver Unit Brg 손상,구름
"통풍, 연도장치",GGH,2,2013-05-02,21:37,2013-05-05,18:50,69:13,당진1발1,계획중간정비정지,510,석탄,보일러 부속,보수불량,자연열화,2호기 Air Preheater 차압 상승에 따른 세정작업 관련 계획중간정지,맑음
"통풍, 연도장치",FDF,5,2012-02-02,17:55,2012-02-02,18:45,0:50,당진3발,감발운전,500,석탄,보일러 부속,설비결함,제작불량,당진 5호기 500MW 운전 중 FDF #A 이 L.O Pr Low-Low Trip되어 Runback 진행되어 (500→250MW) 감발운전,맑음
"통풍, 연도장치",CIDF,5,2010-08-13,01:29,2010-08-13,04:39,3:10,당진3발,불시정지,500,석탄,보일러 부속,자연재해,"풍우, 뇌우","5호기 500㎿ G/F 운전 중 CIDF #A,B Fan Brg Vibration Hi-Hi로 Trip되어 발전정지됨",뇌우
"통풍, 연도장치",CIDF,5,2015-01-18,04:00,2015-01-19,00:00,20:00,당진3발,감발운전,500,석탄,보일러 부속,설비결함,시공불량,CID Fan #B Fan Side BRG Vib Hi ,맑음
"통풍, 연도장치",CIDF,5,2010-03-05,18:15,2010-03-06,07:00,12:45,당진3발,감발운전,500,석탄,보일러 부속,설비결함,시공불량,CID Fan A Pitch Blade 구동용 Hydro Cylinder 정비관련 출력감발,맑음
"통풍, 연도장치",CIDF,6,2010-02-13,00:00,2010-02-15,12:30,60:30,당진3발,계획중간정비정지,500,석탄,보일러 부속,기타,,CIDF #B Main BRG 교체 및 HPBP #3 VV Passing 정비관련 발전정지,맑음
"통풍, 연도장치",CIDF,7,2017-01-12,22:31,2017-01-13,09:43,11:12,당진4발,감발운전,500,석탄,보일러 부속,설비결함,제작불량,CID Fan #A L.O Tank Level Low-Low로 Runback,맑음
"통풍, 연도장치",CIDF,7,2012-09-12,07:30,2012-09-13,07:00,23:30,당진4발,감발운전,500,석탄,보일러 부속,설비결함,제작불량,CIDF-B Motor 절연손상에 의한 Runback,맑음
"통풍, 연도장치",CIDF,10,2017-07-19,03:45,2017-07-28,20:47,233:02,신당진,감발운전,1020,석탄,보일러 부속,설비결함,제작불량,CIDF-A 비율차동계전기 동작으로 출력감발,구름
"통풍, 연도장치",BUF,1,2013-05-10,21:47,2013-05-11,12:10,14:23,당진1발1,감발운전,510,석탄,보일러 부속,보수불량,자연열화,탈황설비 BUF-B 정지로 출력감발,맑음
"통풍, 연도장치",BUF,2,2014-03-28,00:25,2014-03-29,18:05,41:40,당진1발1,감발운전,510,석탄,보일러 부속,보수불량,자연열화,BUF-A Blade Shaft 손상에 의한 정비작업 관련 출력감발,맑음
회처리 장치,SDCC,5,2016-07-03,00:00,2016-07-04,00:30,24:30,당진3발,계획중간정비정지,500,석탄,보일러 부속,설비결함,제작불량,SDCC Trip에 의한 발전정지,맑음
회처리 장치,SDCC,5,2015-06-25,20:00,2015-06-28,07:00,59:00,당진3발,계획중간정비정지,500,석탄,보일러 부속,설비결함,제작불량,SDCC Trip에 의한 발전정지,맑음
회처리 장치,SDCC,7,2016-09-22,03:00,2016-09-23,20:57,41:57,당진4발,계획중간정비정지,500,석탄,보일러 부속,설비결함,제작불량,클링커 낙하로 인한 SDCC 정비,맑음
회처리 장치,SDCC,7,2016-07-29,18:00,2016-07-31,11:32,41:32,당진4발,계획중간정비정지,500,석탄,보일러 부속,설비결함,제작불량,클링커 낙하로 인한 SDCC Chain 이탈 정비정지,맑음
회처리 장치,SDCC,7,2011-12-03,00:00,2011-12-03,08:45,8:45,당진4발,계획중간정비정지,500,석탄,보일러 부속,설비결함,제작불량,SDCC 클링커 제거 작업,맑음
회처리 장치,SDCC,8,2011-01-03,03:26,2011-01-03,15:30,12:04,당진4발,비계획정비정지,500,석탄,보일러 부속,설비결함,제작불량,저회처리장치(SDCC) 구동부 내부 이물질 제거를 위한 발전정지,맑음
회처리 장치,SDCC,8,2009-12-28,19:40,2009-12-29,04:30,8:50,당진4발,비계획정비정지,519,석탄,보일러 부속,설비결함,제작불량,저회처리장치 구동부 내부 이물질 제거를 위한 발전정지,맑음
보일러 튜브,S/H Tube,2,2011-05-12,11:30,2011-05-14,18:55,55:25,당진1발1,비계획정비정지,500,석탄,보일러 본체,보수불량,자연열화,보일러 Planten SH 곡관튜브 파열에 의한 발전정지,맑음
보일러 튜브,S/H Tube,2,2011-05-10,03:55,2011-05-11,18:40,38:45,당진1발1,비계획정비정지,500,석탄,보일러 본체,보수불량,자연열화,보일러 Planten SH 곡관튜브 파열에 의한 발전정지,구름
보일러 튜브,S/H Tube,1,2011-03-31,12:46,2011-04-01,20:36,31:50,당진1발1,비계획정비정지,500,석탄,보일러 본체,보수불량,자연열화,1차과열기(Hanger Tube Out HDR) 누설에 의한 발전정지,맑음
보일러 튜브,S/H Tube,8,2011-02-05,07:00,2011-02-09,19:00,108:00,당진4발,비계획정비정지,519,석탄,보일러 본체,설비결함,제작불량,FSH Outlet Tube 누설처 정비를 위한 정지,맑음
보일러 튜브,S/H Tube,2,2010-01-30,16:05,2010-02-01,09:18,41:13,당진1발1,비계획정비정지,500,석탄,보일러 본체,보수불량,자연열화,보일러 Y-Hanger Tube 증기누설 관련 발전정지,구름
보일러 튜브,S/H Tube,5,2008-05-08,02:00,2008-05-10,22:16,68:16,당진3발,비계획정비정지,519,석탄,보일러 본체,설비결함,제작불량,보일러 최종과열기 Tube Leak,맑음
보일러 튜브,S/H Tube,1,2016-11-19,20:00,2016-11-22,18:55,70:55,당진1발1,계획중간정비정지,500,석탄,보일러 본체,보수불량,자연열화,당진 1호기 보일러 Hanger Tube 누설부 정비,맑음
보일러 튜브,S/H Tube,7,2016-02-17,00:00,2016-02-20,17:50,89:50,당진4발,계획중간정비정지,500,석탄,보일러 본체,설비결함,제작불량,7호기 Division SH 출구헤더 균열부 정비,맑음
